,Date,Open,High,Low,Close,Volume,score,cont_len,compound_score,final_tag,target value,year,month,day
23,2012-04-23,1378.53,1378.53,1358.79,1366.94,642154880.0,0,115,0.39,positive,0,2012,4,23
24,2012-04-24,1366.97,1375.57,1366.82,1371.97,617978304.0,1,94,0.0,neutral,1,2012,4,24
25,2012-04-25,1372.11,1391.37,1372.11,1390.69,641079296.0,3,218,0.8,positive,1,2012,4,25
26,2012-04-26,1390.64,1402.09,1387.28,1399.98,599315072.0,1,26,-0.27,negative,1,2012,4,26
27,2012-04-27,1400.19,1406.64,1397.31,1403.36,582286784.0,3,23,0.42,positive,1,2012,4,27
28,2012-04-30,1403.26,1403.26,1394.0,1397.91,614539008.0,4,66,0.53,positive,0,2012,4,30
29,2012-07-05,1368.79,1373.91,1363.94,1369.58,586001024.0,3,213,-0.62,negative,1,2012,7,5
30,2012-08-05,1369.16,1369.16,1347.75,1363.72,690165824.0,0,187,0.34,positive,0,2012,8,5
31,2012-09-05,1363.2,1363.73,1343.13,1354.58,728912384.0,3,654,0.82,positive,0,2012,9,5
32,2012-10-05,1354.58,1365.88,1354.58,1357.99,657005824.0,2,220,0.83,positive,1,2012,10,5
33,2012-11-05,1358.11,1365.66,1348.89,1353.39,627982912.0,1,81,0.0,neutral,0,2012,11,5
34,2012-05-14,1351.93,1351.93,1336.61,1338.35,641538624.0,2,159,0.08,positive,0,2012,5,14
35,2012-05-15,1338.36,1344.94,1328.41,1330.66,665603904.0,3,36,0.0,neutral,0,2012,5,15
36,2012-05-16,1330.78,1341.78,1324.79,1324.8,677159424.0,1,54,-0.05,negative,0,2012,5,16
37,2012-05-17,1324.82,1326.36,1304.86,1304.86,693854080.0,3,48,0.0,neutral,0,2012,5,17
38,2012-05-18,1305.05,1312.24,1291.98,1295.22,999102080.0,3,70,-0.49,negative,0,2012,5,18
39,2012-05-21,1295.73,1316.39,1295.73,1315.99,660701824.0,1,112,0.74,positive,1,2012,5,21
40,2012-05-22,1316.09,1328.49,1310.04,1316.63,649988224.0,4,75,0.0,neutral,1,2012,5,22
41,2012-05-23,1316.02,1320.71,1296.53,1318.86,710563584.0,1,330,-0.02,negative,1,2012,5,23
42,2012-05-24,1318.72,1324.14,1310.5,1320.68,624818176.0,1,31,0.0,neutral,1,2012,5,24
43,2012-05-25,1320.81,1324.2,1314.23,1317.82,458230496.0,1,152,0.3,positive,0,2012,5,25
44,2012-05-29,1318.9,1334.93,1318.9,1332.42,560752768.0,2,157,-0.3,negative,1,2012,5,29
45,2012-05-30,1331.25,1331.25,1310.76,1313.32,590658176.0,3,333,-0.1,negative,0,2012,5,30
46,2012-05-31,1313.09,1319.74,1298.9,1310.33,951090816.0,1,221,0.13,positive,0,2012,5,31
47,2012-05-06,1277.82,1287.62,1274.16,1285.5,564873408.0,2,1094,0.99,positive,1,2012,5,6
48,2012-06-06,1285.61,1315.13,1285.61,1315.13,666071424.0,1,73,0.0,neutral,1,2012,6,6
49,2012-07-06,1316.15,1329.05,1312.68,1314.99,658585792.0,1,51,0.0,neutral,0,2012,7,6
50,2012-08-06,1314.99,1325.81,1307.77,1325.66,539308928.0,1,408,-0.51,negative,1,2012,8,6
51,2012-11-06,1325.72,1335.52,1307.73,1308.93,578636224.0,1,44,0.86,positive,0,2012,11,6
52,2012-12-06,1309.4,1324.31,1306.62,1324.18,586248896.0,1,60,0.0,neutral,1,2012,12,6
53,2012-06-13,1324.02,1327.28,1310.51,1314.88,566078592.0,2,48,0.44,positive,0,2012,6,13
54,2012-06-14,1314.88,1333.68,1314.14,1329.1,616595776.0,3,71,-0.42,negative,1,2012,6,14
55,2012-06-15,1329.19,1343.32,1329.19,1342.83,1149112064.0,2,103,-0.21,negative,1,2012,6,15
56,2012-06-18,1342.42,1348.22,1334.46,1344.78,548918272.0,2,499,-0.49,negative,1,2012,6,18
57,2012-06-19,1344.83,1363.46,1344.83,1357.98,594854016.0,0,28,0.0,neutral,1,2012,6,19
58,2012-06-20,1358.04,1361.57,1346.45,1355.69,582090880.0,1,20,0.69,positive,0,2012,6,20
59,2012-06-21,1355.43,1358.27,1324.41,1325.51,687558976.0,1,45,0.0,neutral,0,2012,6,21
60,2012-06-22,1325.92,1337.82,1325.92,1335.02,937475328.0,1,220,0.61,positive,1,2012,6,22
61,2012-06-25,1334.9,1334.9,1309.27,1313.72,605834880.0,1,402,0.71,positive,0,2012,6,25
62,2012-06-26,1314.09,1324.24,1310.3,1319.99,557936512.0,1,36,0.05,positive,1,2012,6,26
63,2012-06-27,1320.71,1334.4,1320.71,1331.85,508537792.0,2,303,-0.34,negative,1,2012,6,27
64,2012-06-28,1331.52,1331.52,1313.29,1329.04,701561280.0,1,128,0.36,positive,0,2012,6,28
65,2012-06-29,1330.12,1362.17,1330.12,1362.16,862206016.0,1,277,0.7,positive,1,2012,6,29
66,2012-05-07,1373.72,1373.85,1363.02,1367.58,499612000.0,3,79,0.77,positive,0,2012,5,7
67,2012-06-07,1367.09,1367.09,1348.03,1354.68,483174496.0,1,92,0.0,neutral,0,2012,6,7
68,2012-09-07,1354.66,1354.87,1346.65,1352.46,496238912.0,2,78,0.74,positive,0,2012,9,7
69,2012-10-07,1352.96,1361.54,1336.27,1341.47,568883904.0,1,4,0.0,neutral,0,2012,10,7
70,2012-11-07,1341.4,1345.0,1333.25,1341.45,606265408.0,1,10,-0.36,negative,1,2012,11,7
71,2012-12-07,1341.29,1341.29,1325.41,1334.76,611763776.0,1,86,-0.36,negative,0,2012,12,7
72,2012-07-13,1334.81,1357.7,1334.81,1356.78,530837184.0,1,73,0.44,positive,1,2012,7,13
73,2012-07-16,1356.5,1357.26,1348.51,1353.64,471627008.0,3,411,0.83,positive,0,2012,7,16
74,2012-07-17,1353.68,1365.36,1345.07,1363.67,577939392.0,1,28,0.27,positive,1,2012,7,17
75,2012-07-18,1363.58,1375.26,1358.96,1372.78,589123776.0,1,44,0.42,positive,1,2012,7,18
76,2012-07-19,1373.01,1380.39,1371.21,1376.51,643162880.0,1,107,0.32,positive,1,2012,7,19
77,2012-07-20,1376.51,1376.51,1362.19,1362.66,863626816.0,1,51,0.4,positive,0,2012,7,20
78,2012-07-23,1362.34,1362.34,1337.56,1350.52,602347072.0,2,210,0.0,neutral,0,2012,7,23
79,2012-07-24,1350.52,1351.53,1329.24,1338.31,632833408.0,1,31,0.0,neutral,0,2012,7,24
80,2012-07-25,1338.35,1343.98,1331.5,1337.89,653733632.0,2,35,0.0,neutral,0,2012,7,25
